year,week,rank,team,record,scraped_at
2023,Week 11,7,Texas,9-1,2025-08-09T09:41:22.385592
2023,Week 11,8,Alabama,9-1,2025-08-09T09:41:22.385668
2023,Week 11,9,Missouri,8-2,2025-08-09T09:41:22.385834
2023,Week 11,10,Louisville,9-1,2025-08-09T09:41:22.385944
2023,Week 11,11,Oregon State,8-2,2025-08-09T09:41:22.386088
2023,Week 11,12,Penn State,8-2,2025-08-09T09:41:22.386179
2023,Week 11,13,Mississippi,8-2,2025-08-09T09:41:22.386256
2023,Week 11,14,Oklahoma,8-2,2025-08-09T09:41:22.386333
2023,Week 11,15,LSU,7-3,2025-08-09T09:41:22.386410
2023,Week 11,16,Iowa,8-2,2025-08-09T09:41:22.386486
2023,Week 11,17,Arizona,7-3,2025-08-09T09:41:22.386562
2023,Week 11,18,Tennessee,7-3,2025-08-09T09:41:22.386637
2023,Week 11,19,Notre Dame,7-3,2025-08-09T09:41:22.386714
2023,Week 11,20,North Carolina,8-2,2025-08-09T09:41:22.386791
2023,Week 11,21,Kansas State,7-3,2025-08-09T09:41:22.386867
2023,Week 11,22,Utah,7-3,2025-08-09T09:41:22.386944
2023,Week 11,23,Oklahoma State,7-3,2025-08-09T09:41:22.387020
2023,Week 11,24,Tulane,9-1,2025-08-09T09:41:22.387097
2023,Week 11,25,Kansas,7-3,2025-08-09T09:41:22.387206
2023,Week 12,1,Georgia,11-0,2025-08-09T09:41:12.067713
2023,Week 12,2,Ohio State,11-0,2025-08-09T09:41:12.067802
2023,Week 12,3,Michigan,11-0,2025-08-09T09:41:12.067881
2023,Week 12,4,Washington,11-0,2025-08-09T09:41:12.067959
2023,Week 12,5,Florida State,11-0,2025-08-09T09:41:12.068037
2023,Week 12,6,Oregon,10-1,2025-08-09T09:41:12.068114
2023,Week 12,7,Texas,10-1,2025-08-09T09:41:12.068190
2023,Week 12,8,Alabama,10-1,2025-08-09T09:41:12.068268
2023,Week 12,9,Missouri,9-2,2025-08-09T09:41:12.068345
2023,Week 12,10,Louisville,10-1,2025-08-09T09:41:12.068422
2023,Week 12,11,Penn State,9-2,2025-08-09T09:41:12.068499
2023,Week 12,12,Mississippi,9-2,2025-08-09T09:41:12.068576
2023,Week 12,13,Oklahoma,9-2,2025-08-09T09:41:12.068652
2023,Week 12,14,LSU,8-3,2025-08-09T09:41:12.068728
2023,Week 12,15,Arizona,8-3,2025-08-09T09:41:12.068805
2023,Week 12,16,Oregon State,8-3,2025-08-09T09:41:12.068881
2023,Week 12,17,Iowa,9-2,2025-08-09T09:41:12.068997
2023,Week 12,18,Notre Dame,8-3,2025-08-09T09:41:12.069093
2023,Week 12,19,Kansas State,8-3,2025-08-09T09:41:12.069367
2023,Week 12,20,Oklahoma State,8-3,2025-08-09T09:41:12.069458
2023,Week 12,21,Tennessee,7-4,2025-08-09T09:41:12.069540
2023,Week 12,22,NC State,8-3,2025-08-09T09:41:12.069619
2023,Week 12,23,Tulane,10-1,2025-08-09T09:41:12.069698
2023,Week 12,24,Clemson,7-4,2025-08-09T09:41:12.069775
2023,Week 12,25,Liberty,11-0,2025-08-09T09:41:12.069852
2023,Week 13,1,Georgia,12-0,2025-08-09T09:41:01.703163
2023,Week 13,2,Michigan,12-0,2025-08-09T09:41:01.703258
2023,Week 13,3,Washington,12-0,2025-08-09T09:41:01.703338
2023,Week 13,4,Florida State,12-0,2025-08-09T09:41:01.703415
2023,Week 13,5,Oregon,11-1,2025-08-09T09:41:01.703492
2023,Week 13,6,Ohio State,11-1,2025-08-09T09:41:01.703569
2023,Week 13,7,Texas,11-1,2025-08-09T09:41:01.703645
2023,Week 13,8,Alabama,11-1,2025-08-09T09:41:01.703722
2023,Week 13,9,Missouri,10-2,2025-08-09T09:41:01.703802
2023,Week 13,10,Penn State,10-2,2025-08-09T09:41:01.703880
2023,Week 13,11,Mississippi,10-2,2025-08-09T09:41:01.703956
2023,Week 13,12,Oklahoma,10-2,2025-08-09T09:41:01.704037
2023,Week 13,13,LSU,9-3,2025-08-09T09:41:01.704114
2023,Week 13,14,Louisville,10-2,2025-08-09T09:41:01.704191
2023,Week 13,15,Arizona,9-3,2025-08-09T09:41:01.704267
2023,Week 13,16,Iowa,10-2,2025-08-09T09:41:01.704343
2023,Week 13,17,Notre Dame,9-3,2025-08-09T09:41:01.704419
2023,Week 13,18,Oklahoma State,9-3,2025-08-09T09:41:01.704495
2023,Week 13,19,NC State,9-3,2025-08-09T09:41:01.704572
2023,Week 13,20,Oregon State,8-4,2025-08-09T09:41:01.704651
2023,Week 13,21,Tennessee,8-4,2025-08-09T09:41:01.704727
2023,Week 13,22,Tulane,11-1,2025-08-09T09:41:01.704803
2023,Week 13,23,Clemson,8-4,2025-08-09T09:41:01.704878
2023,Week 13,24,Liberty,12-0,2025-08-09T09:41:01.704954
2023,Week 13,25,Kansas State,8-4,2025-08-09T09:41:01.705034
2023,Week 14,1,Michigan,13-0,2025-08-09T09:40:51.404903
2023,Week 14,2,Washington,13-0,2025-08-09T09:40:51.404994
2023,Week 14,3,Texas,12-1,2025-08-09T09:40:51.405069
2023,Week 14,4,Alabama,12-1,2025-08-09T09:40:51.405146
2023,Week 14,5,Florida State,13-0,2025-08-09T09:40:51.405219
2023,Week 14,6,Georgia,12-1,2025-08-09T09:40:51.405293
2023,Week 14,7,Ohio State,11-1,2025-08-09T09:40:51.405366
2023,Week 14,8,Oregon,11-2,2025-08-09T09:40:51.405441
2023,Week 14,9,Missouri,10-2,2025-08-09T09:40:51.405513
2023,Week 14,10,Penn State,10-2,2025-08-09T09:40:51.405585
2023,Week 14,11,Mississippi,10-2,2025-08-09T09:40:51.405658
2023,Week 14,12,Oklahoma,10-2,2025-08-09T09:40:51.405773
2023,Week 14,13,LSU,9-3,2025-08-09T09:40:51.405846
2023,Week 14,14,Arizona,9-3,2025-08-09T09:40:51.405922
2023,Week 14,15,Louisville,10-3,2025-08-09T09:40:51.405996
2023,Week 14,16,Notre Dame,9-3,2025-08-09T09:40:51.406067
2023,Week 14,17,Iowa,10-3,2025-08-09T09:40:51.406141
2023,Week 14,18,NC State,9-3,2025-08-09T09:40:51.406215
2023,Week 14,19,Oregon State,8-4,2025-08-09T09:40:51.406288
2023,Week 14,20,Oklahoma State,9-4,2025-08-09T09:40:51.406360
2023,Week 14,21,Tennessee,8-4,2025-08-09T09:40:51.406432
2023,Week 14,22,Clemson,8-4,2025-08-09T09:40:51.406503
2023,Week 14,23,Liberty,13-0,2025-08-09T09:40:51.406575
2023,Week 14,24,SMU,11-2,2025-08-09T09:40:51.406647
2023,Week 14,25,Kansas State,8-4,2025-08-09T09:40:51.406723
2024,Week 10,1,Oregon,9-0,2025-08-09T09:40:27.296141
2024,Week 10,2,Ohio State,7-1,2025-08-09T09:40:27.296427
2024,Week 10,3,Georgia,7-1,2025-08-09T09:40:27.296560
2024,Week 10,4,Miami,9-0,2025-08-09T09:40:27.296642
2024,Week 10,5,Texas,7-1,2025-08-09T09:40:27.296721
2024,Week 10,6,Penn State,7-1,2025-08-09T09:40:27.296819
2024,Week 10,7,Tennessee,7-1,2025-08-09T09:40:27.296947
2024,Week 10,8,Indiana,9-0,2025-08-09T09:40:27.297040
2024,Week 10,9,BYU,8-0,2025-08-09T09:40:27.297114
2024,Week 10,10,Notre Dame,7-1,2025-08-09T09:40:27.297190
2024,Week 10,11,Alabama,6-2,2025-08-09T09:40:27.297263
2024,Week 10,12,Boise State,7-1,2025-08-09T09:40:27.297339
2024,Week 10,13,SMU,8-1,2025-08-09T09:40:27.297414
2024,Week 10,14,Texas A&M,7-2,2025-08-09T09:40:27.297507
2024,Week 10,15,LSU,6-2,2025-08-09T09:40:27.297594
2024,Week 10,16,Mississippi,7-2,2025-08-09T09:40:27.297667
2024,Week 10,17,Iowa State,7-1,2025-08-09T09:40:27.297741
2024,Week 10,18,Pittsburgh,7-1,2025-08-09T09:40:27.297816
2024,Week 10,19,Kansas State,7-2,2025-08-09T09:40:27.297891
2024,Week 10,20,Colorado,6-2,2025-08-09T09:40:27.297964
2024,Week 10,21,Washington State,7-1,2025-08-09T09:40:27.298039
2024,Week 10,22,Louisville,6-3,2025-08-09T09:40:27.298112
2024,Week 10,23,Clemson,6-2,2025-08-09T09:40:27.298185
2024,Week 10,24,Missouri,6-2,2025-08-09T09:40:27.298258
2024,Week 10,25,Army,8-0,2025-08-09T09:40:27.298367
2024,Week 11,1,Oregon,10-0,2025-08-09T09:40:17.010798
2024,Week 11,2,Ohio State,8-1,2025-08-09T09:40:17.010901
2024,Week 11,3,Texas,8-1,2025-08-09T09:40:17.010975
2024,Week 11,4,Penn State,8-1,2025-08-09T09:40:17.011048
2024,Week 11,5,Indiana,10-0,2025-08-09T09:40:17.011122
2024,Week 11,6,BYU,9-0,2025-08-09T09:40:17.011196
2024,Week 11,7,Tennessee,8-1,2025-08-09T09:40:17.011269
2024,Week 11,8,Notre Dame,8-1,2025-08-09T09:40:17.011359
2024,Week 11,9,Miami,9-1,2025-08-09T09:40:17.011473
2024,Week 11,10,Alabama,7-2,2025-08-09T09:40:17.011583
2024,Week 11,11,Mississippi,8-2,2025-08-09T09:40:17.011728
2024,Week 11,12,Georgia,7-2,2025-08-09T09:40:17.011801
2024,Week 11,13,Boise State,8-1,2025-08-09T09:40:17.011873
2024,Week 11,14,SMU,8-1,2025-08-09T09:40:17.011945
2024,Week 11,15,Texas A&M,7-2,2025-08-09T09:40:17.012101
2024,Week 11,16,Kansas State,7-2,2025-08-09T09:40:17.012282
2024,Week 11,17,Colorado,7-2,2025-08-09T09:40:17.012402
2024,Week 11,18,Washington State,8-1,2025-08-09T09:40:17.012494
2024,Week 11,19,Louisville,6-3,2025-08-09T09:40:17.012610
2024,Week 11,20,Clemson,7-2,2025-08-09T09:40:17.012757
2024,Week 11,21,South Carolina,6-3,2025-08-09T09:40:17.012858
2024,Week 11,22,LSU,6-3,2025-08-09T09:40:17.012931
2024,Week 11,23,Missouri,7-2,2025-08-09T09:40:17.013004
2024,Week 11,24,Army,9-0,2025-08-09T09:40:17.013077
2024,Week 11,25,Tulane,8-2,2025-08-09T09:40:17.013149
2024,Week 12,1,Oregon,11-0,2025-08-09T09:40:06.686581
2024,Week 12,2,Ohio State,9-1,2025-08-09T09:40:06.686673
2024,Week 12,3,Texas,9-1,2025-08-09T09:40:06.686754
2024,Week 12,4,Penn State,9-1,2025-08-09T09:40:06.686835
2024,Week 12,5,Indiana,10-0,2025-08-09T09:40:06.686942
2024,Week 12,6,Notre Dame,9-1,2025-08-09T09:40:06.687036
2024,Week 12,7,Alabama,8-2,2025-08-09T09:40:06.687123
2024,Week 12,8,Miami,9-1,2025-08-09T09:40:06.687205
2024,Week 12,9,Mississippi,8-2,2025-08-09T09:40:06.687285
2024,Week 12,10,Georgia,8-2,2025-08-09T09:40:06.687365
2024,Week 12,11,Tennessee,8-2,2025-08-09T09:40:06.687445
2024,Week 12,12,Boise State,9-1,2025-08-09T09:40:06.687524
2024,Week 12,13,SMU,9-1,2025-08-09T09:40:06.687604
2024,Week 12,14,BYU,9-1,2025-08-09T09:40:06.687684
2024,Week 12,15,Texas A&M,8-2,2025-08-09T09:40:06.687764
2024,Week 12,16,Colorado,8-2,2025-08-09T09:40:06.687844
2024,Week 12,17,Clemson,8-2,2025-08-09T09:40:06.687923
2024,Week 12,18,South Carolina,7-3,2025-08-09T09:40:06.688003
2024,Week 12,19,Army,9-0,2025-08-09T09:40:06.688083
2024,Week 12,20,Tulane,9-2,2025-08-09T09:40:06.688163
2024,Week 12,21,Arizona State,8-2,2025-08-09T09:40:06.688241
2024,Week 12,22,Iowa State,8-2,2025-08-09T09:40:06.688321
2024,Week 12,23,Missouri,7-3,2025-08-09T09:40:06.688400
2024,Week 12,24,UNLV,8-2,2025-08-09T09:40:06.688478
2024,Week 12,25,Illinois,7-3,2025-08-09T09:40:06.688557
2024,Week 13,1,Oregon,11-0,2025-08-09T09:39:56.331352
2024,Week 13,2,Ohio State,10-1,2025-08-09T09:39:56.331442
2024,Week 13,3,Texas,10-1,2025-08-09T09:39:56.331522
2024,Week 13,4,Penn State,10-1,2025-08-09T09:39:56.331598
2024,Week 13,5,Notre Dame,10-1,2025-08-09T09:39:56.331676
2024,Week 13,6,Miami,10-1,2025-08-09T09:39:56.331751
2024,Week 13,7,Georgia,9-2,2025-08-09T09:39:56.331828
2024,Week 13,8,Tennessee,9-2,2025-08-09T09:39:56.331912
2024,Week 13,9,SMU,10-1,2025-08-09T09:39:56.331989
2024,Week 13,10,Indiana,10-1,2025-08-09T09:39:56.332066
2024,Week 13,11,Boise State,10-1,2025-08-09T09:39:56.332146
2024,Week 13,12,Clemson,9-2,2025-08-09T09:39:56.332222
2024,Week 13,13,Alabama,8-3,2025-08-09T09:39:56.332299
2024,Week 13,14,Mississippi,8-3,2025-08-09T09:39:56.332374
2024,Week 13,15,South Carolina,8-3,2025-08-09T09:39:56.332450
2024,Week 13,16,Arizona State,9-2,2025-08-09T09:39:56.332526
2024,Week 13,17,Tulane,9-2,2025-08-09T09:39:56.332605
2024,Week 13,18,Iowa State,9-2,2025-08-09T09:39:56.332681
2024,Week 13,19,BYU,9-2,2025-08-09T09:39:56.332757
2024,Week 13,20,Texas A&M,8-3,2025-08-09T09:39:56.332833
2024,Week 13,21,Missouri,8-3,2025-08-09T09:39:56.332909
2024,Week 13,22,UNLV,9-2,2025-08-09T09:39:56.332987
2024,Week 13,23,Illinois,8-3,2025-08-09T09:39:56.333063
2024,Week 13,24,Kansas State,8-3,2025-08-09T09:39:56.333138
2024,Week 13,25,Colorado,8-3,2025-08-09T09:39:56.333215
2024,Week 14,1,Oregon,12-0,2025-08-09T09:39:46.020473
2024,Week 14,2,Texas,11-1,2025-08-09T09:39:46.020609
2024,Week 14,3,Penn State,11-1,2025-08-09T09:39:46.020713
2024,Week 14,4,Notre Dame,11-1,2025-08-09T09:39:46.020805
2024,Week 14,5,Georgia,10-2,2025-08-09T09:39:46.020881
2024,Week 14,6,Ohio State,10-2,2025-08-09T09:39:46.020972
2024,Week 14,7,Tennessee,10-2,2025-08-09T09:39:46.021050
2024,Week 14,8,SMU,11-1,2025-08-09T09:39:46.021128
2024,Week 14,9,Indiana,11-1,2025-08-09T09:39:46.021206
2024,Week 14,10,Boise State,11-1,2025-08-09T09:39:46.021286
2024,Week 14,11,Alabama,9-3,2025-08-09T09:39:46.021365
2024,Week 14,12,Miami,10-2,2025-08-09T09:39:46.021443
2024,Week 14,13,Mississippi,9-3,2025-08-09T09:39:46.021526
2024,Week 14,14,South Carolina,9-3,2025-08-09T09:39:46.021605
2024,Week 14,15,Arizona State,10-2,2025-08-09T09:39:46.021684
2024,Week 14,16,Iowa State,10-2,2025-08-09T09:39:46.021763
2024,Week 14,17,Clemson,9-3,2025-08-09T09:39:46.021841
2024,Week 14,18,BYU,10-2,2025-08-09T09:39:46.021920
2024,Week 14,19,Missouri,9-3,2025-08-09T09:39:46.021998
2024,Week 14,20,UNLV,10-2,2025-08-09T09:39:46.022076
2024,Week 14,21,Illinois,9-3,2025-08-09T09:39:46.022155
2024,Week 14,22,Syracuse,9-3,2025-08-09T09:39:46.022238
2024,Week 14,23,Colorado,9-3,2025-08-09T09:39:46.022318
2024,Week 14,24,Army,10-1,2025-08-09T09:39:46.022396
2024,Week 14,25,Memphis,10-2,2025-08-09T09:39:46.022473
2024,Week 15,1,Oregon,13-0,2025-08-09T09:39:35.646310
2024,Week 15,2,Georgia,11-2,2025-08-09T09:39:35.646416
2024,Week 15,3,Texas,11-2,2025-08-09T09:39:35.646496
2024,Week 15,4,Penn State,11-2,2025-08-09T09:39:35.646571
2024,Week 15,5,Notre Dame,11-1,2025-08-09T09:39:35.646646
2024,Week 15,6,Ohio State,10-2,2025-08-09T09:39:35.646840
2024,Week 15,7,Tennessee,10-2,2025-08-09T09:39:35.646965
2024,Week 15,8,Indiana,11-1,2025-08-09T09:39:35.647100
2024,Week 15,9,Boise State,12-1,2025-08-09T09:39:35.647204
2024,Week 15,10,SMU,11-2,2025-08-09T09:39:35.647278
2024,Week 15,11,Alabama,9-3,2025-08-09T09:39:35.647350
2024,Week 15,12,Arizona State,11-2,2025-08-09T09:39:35.647423
2024,Week 15,13,Miami,10-2,2025-08-09T09:39:35.647497
2024,Week 15,14,Ole Miss,9-3,2025-08-09T09:39:35.647569
2024,Week 15,15,South Carolina,9-3,2025-08-09T09:39:35.647647
2024,Week 15,16,Clemson,10-3,2025-08-09T09:39:35.647720
2024,Week 15,17,BYU,10-2,2025-08-09T09:39:35.647792
2024,Week 15,18,Iowa State,10-3,2025-08-09T09:39:35.647865
2024,Week 15,19,Missouri,9-3,2025-08-09T09:39:35.647938
2024,Week 15,20,Illinois,9-3,2025-08-09T09:39:35.648010
2024,Week 15,21,Syracuse,9-3,2025-08-09T09:39:35.648081
2024,Week 15,22,Army,11-1,2025-08-09T09:39:35.648153
2024,Week 15,23,Colorado,9-3,2025-08-09T09:39:35.648224
2024,Week 15,24,UNLV,10-3,2025-08-09T09:39:35.648296
2024,Week 15,25,Memphis,10-2,2025-08-09T09:39:35.648367
